"country","dollar","year"
"Argentina",2.5,2000
"Australia",1.54,2000
"Brazil",1.65,2000
"Britain",3,2000
"Canada",1.94,2000
"Chile",2.45,2000
"China",1.2,2000
"Czech Republic",1.39,2000
"Denmark",3.08,2000
"Euro area",2.38,2000
"Hong Kong",1.31,2000
"Hungary",1.21,2000
"Indonesia",1.83,2000
"Israel",3.58,2000
"Japan",2.78,2000
"Malaysia",1.19,2000
"Mexico",2.22,2000
"New Zealand",1.69,2000
"Poland",1.28,2000
"Russia",1.39,2000
"Singapore",1.88,2000
"South Africa",1.34,2000
"South Korea",2.71,2000
"Sweden",2.71,2000
"Switzerland",3.48,2000
"Taiwan",2.29,2000
"Thailand",1.45,2000
"United States",2.51,2000
"Argentina",2.5,2001
"Australia",1.52,2001
"Brazil",1.64,2001
"Britain",2.85,2001
"Canada",2.14,2001
"Chile",2.1,2001
"China",1.2,2001
"Czech Republic",1.43,2001
"Denmark",2.93,2001
"Euro area",2.27,2001
"Hong Kong",1.37,2001
"Hungary",1.32,2001
"Indonesia",1.35,2001
"Japan",2.38,2001
"Malaysia",1.19,2001
"Mexico",2.36,2001
"New Zealand",1.46,2001
"Philippines",1.17,2001
"Poland",1.46,2001
"Russia",1.21,2001
"Singapore",1.82,2001
"South Africa",1.19,2001
"South Korea",2.27,2001
"Sweden",2.33,2001
"Switzerland",3.65,2001
"Taiwan",2.13,2001
"Thailand",1.21,2001
"United States",2.54,2001
"Argentina",0.78,2002
"Australia",1.62,2002
"Brazil",1.55,2002
"Britain",2.88,2002
"Canada",2.12,2002
"Chile",2.16,2002
"China",1.27,2002
"Czech Republic",1.66,2002
"Denmark",2.96,2002
"Euro area",2.37,2002
"Hong Kong",1.4,2002
"Hungary",1.69,2002
"Indonesia",1.71,2002
"Israel",2.51,2002
"Japan",2.01,2002
"Malaysia",1.33,2002
"Mexico",2.37,2002
"New Zealand",1.77,2002
"Norway",4.09,2002
"Peru",2.48,2002
"Philippines",1.28,2002
"Poland",1.46,2002
"Russia",1.25,2002
"Singapore",1.81,2002
"South Africa",0.87,2002
"South Korea",2.36,2002
"Sweden",2.52,2002
"Switzerland",3.81,2002
"Taiwan",2.01,2002
"Thailand",1.27,2002
"Turkey",3.06,2002
"United States",2.49,2002
"Venezuela",2.92,2002
"Argentina",1.4,2003
"Australia",1.8,2003
"Brazil",1.44,2003
"Britain",3.08,2003
"Canada",2.17,2003
"Chile",1.95,2003
"China",1.2,2003
"Czech Republic",1.91,2003
"Denmark",3.99,2003
"Egypt",1.38,2003
"Euro area",2.98,2003
"Hong Kong",1.47,2003
"Hungary",2.14,2003
"Indonesia",1.81,2003
"Japan",2.18,2003
"Malaysia",1.33,2003
"Mexico",2.14,2003
"New Zealand",2.15,2003
"Peru",2.28,2003
"Philippines",1.23,2003
"Poland",1.56,2003
"Russia",1.31,2003
"Singapore",1.85,2003
"South Africa",1.74,2003
"South Korea",2.63,2003
"Sweden",3.5,2003
"Switzerland",4.52,2003
"Taiwan",2.01,2003
"Thailand",1.37,2003
"Turkey",2.28,2003
"United States",2.71,2003
"Venezuela",2.32,2003
"Argentina",1.48,2004
"Australia",2.27,2004
"Brazil",1.7,2004
"Britain",3.37,2004
"Canada",2.33,2004
"Chile",2.18,2004
"China",1.26,2004
"Colombia",2.35,2004
