"id","source","text","created","hour","quote","picture","very","length"
"762669882571980801","Android","My economic policy speech will be carried live at 12:15 P.M. Enjoy!",2016-08-08 15:20:44,10,"no_quote","no_picture","no_very",67
"762641595439190016","iPhone","Join me in Fayetteville, North Carolina tomorrow evening at 6pm. Tickets now available at:",2016-08-08 13:28:20,8,"no_quote","picture","no_very",90
"762439658911338496","iPhone","#ICYMI: ""Will Media Apologize to Trump?""",2016-08-08 00:05:54,19,"no_quote","picture","no_very",40
"762425371874557952","Android","Michael Morell, the lightweight former Acting Director of C.I.A., and a man who has made serious bad calls, is a total Clinton flunky!",2016-08-07 23:09:08,18,"no_quote","no_picture","no_very",134
"762400869858115588","Android","The media is going crazy. They totally distort so many things on purpose. Crimea, nuclear, ""the baby"" and so much more. Very dishonest!",2016-08-07 21:31:46,16,"no_quote","no_picture","very",135
"762284533341417472","Android","I see where Mayor Stephanie Rawlings-Blake of Baltimore is pushing Crooked hard. Look at the job she has done in Baltimore. She is a joke!",2016-08-07 13:49:29,8,"no_quote","no_picture","no_very",138
"762110918721310721","iPhone","Thank you Windham, New Hampshire! #TrumpPence16 #MAGA",2016-08-07 02:19:37,21,"no_quote","picture","no_very",53
"762106904436961280","iPhone",".@Larry_Kudlow - 'Donald Trump Is the middle-class growth candidate'",2016-08-07 02:03:39,21,"no_quote","picture","no_very",68
"762104411707568128","Android","I am not just running against Crooked Hillary Clinton, I am running against the very dishonest and totally biased media - but I will win!",2016-08-07 01:53:45,20,"no_quote","no_picture","very",137
"762016426102296576","iPhone","#CrookedHillary is not fit to be our next president! #TrumpPence16",2016-08-06 20:04:08,15,"no_quote","picture","no_very",66
"761988164382756864","Android","Heading to New Hampshire - will be talking about Hillary saying her brain SHORT CIRCUITED, and other things!",2016-08-06 18:11:50,13,"no_quote","no_picture","no_very",108
"761936929902452740","Android","Anybody whose mind ""SHORT CIRCUITS"" is not fit to be our president! Look up the word ""BRAINWASHED.""",2016-08-06 14:48:14,9,"no_quote","no_picture","no_very",99
"761931010548305920","Android","Crooked Hillary said loudly, and for the world to see, that she ""SHORT CIRCUITED"" when answering a question on her e-mails. Very dangerous!",2016-08-06 14:24:43,9,"no_quote","no_picture","very",139
"761892829434183684","Android","Hillary Clinton is being badly criticized for her poor performance in answering questions. Let us all see what happens!",2016-08-06 11:53:00,6,"no_quote","no_picture","no_very",119
"761773576101953536","iPhone","Good luck #TeamUSA#OpeningCeremony #Rio2016",2016-08-06 03:59:08,22,"no_quote","picture","no_very",43
"761757988516401153","iPhone","'Trump is right about violent crime: It’s on the rise in major cities'",2016-08-06 02:57:11,21,"no_quote","picture","no_very",70
"761754898602061824","iPhone","Thank you Green Bay, Wisconsin! Governor @Mike_Pence and I will be back soon. #TrumpPence16 #MAGA",2016-08-06 02:44:55,21,"no_quote","picture","no_very",97
"761693803120041986","iPhone","Thank you Des Moines, Iowa! Governor @Mike_Pence and I appreciate your support! #MAGA #TrumpTrain",2016-08-05 22:42:08,17,"no_quote","picture","no_very",97
"761653875413618689","iPhone","#MakeAmericaSafeAgain",2016-08-05 20:03:29,15,"no_quote","picture","no_very",21
"761549461893984256","iPhone","Hillary Clinton has bad judgment and is unfit to serve as President.",2016-08-05 13:08:35,8,"no_quote","picture","no_very",68
"761511930238496772","Android","The plane I saw on television was the hostage plane in Geneva, Switzerland, not the plane carrying $400 million in cash going to Iran!",2016-08-05 10:39:27,5,"no_quote","no_picture","no_very",134
"761386080272875520","iPhone","President Obama refuses to answer question about Iran terror funding.  I won't dodge questions as your President.",2016-08-05 02:19:22,21,"no_quote","picture","no_very",113
"761386025323225088","iPhone","Obama's disastrous judgment gave us ISIS, rise of Iran, and the worst economic numbers since the Great Depression!",2016-08-05 02:19:08,21,"no_quote","no_picture","no_very",114
"761385812390977536","iPhone","President Obama should ask the DNC about how they rigged the election against Bernie.",2016-08-05 02:18:18,21,"no_quote","no_picture","no_very",85
"761385317169496064","iPhone","See you tomorrow w/ Gov. @Mike_Pence, Iowa ; Wisconsin! 3pm- 7pm-",2016-08-05 02:16:20,21,"no_quote","picture","no_very",65
"761331433810132992","iPhone","Thank you Portland, Maine! #MakeAmericaGreatAgain",2016-08-04 22:42:13,17,"no_quote","picture","no_very",49
"761281473492189184","iPhone","Happy 226th Birthday to the United States Coast Guard. Thank you @USCG! #CoastGuardDay",2016-08-04 19:23:41,14,"no_quote","picture","no_very",86
"761279538106097664","iPhone","Great meeting all of you. This group knocked on 50K doors ; counting here in Maine, thank you! @MaineGOP",2016-08-04 19:16:00,14,"no_quote","picture","no_very",104
"761219396635361280","iPhone","Looking forward to IA ; WI with Gov. Pence, tomorrow. Join us! #MAGA",2016-08-04 15:17:01,10,"no_quote","picture","no_very",68
"761025834350018561","iPhone","Thank you Jacksonville, Florida!#MakeAmericaGreatAgain",2016-08-04 02:27:52,21,"no_quote","picture","no_very",54
"760976212068106240","iPhone","Thank you for your support of my candidacy! #MAGA #ImWithYou",2016-08-03 23:10:41,18,"no_quote","picture","no_very",60
"760960985524043777","iPhone","Thank you to the amazing law enforcement officers today- in Daytona Beach, Florida! #LESM #MAGA",2016-08-03 22:10:11,17,"no_quote","picture","no_very",95
"760957697579708416","iPhone","THANK YOU Daytona Beach, Florida!#MakeAmericaGreatAgain",2016-08-03 21:57:07,16,"no_quote","picture","no_very",55
"760783130978648064","Android","Our incompetent Secretary of State, Hillary Clinton, was the one who started talks to give 400 million dollars, in cash, to Iran. Scandal!",2016-08-03 10:23:27,5,"no_quote","no_picture","no_very",138
"760765818917515264","Android","There is great unity in my campaign, perhaps greater than ever before. I want to thank everyone for your tremendous support. Beat Crooked H!",2016-08-03 09:14:40,4,"no_quote","no_picture","very",140
"760669268539301889","Android","Great day in Virginia. Crowd was fantastic!",2016-08-03 02:51:00,21,"no_quote","no_picture","no_very",43
"760594155835887616","iPhone","My daughter @IvankaTrump will be on @Greta tonight at 7pm. Enjoy!",2016-08-02 21:52:32,16,"no_quote","picture","no_very",65
"760560366447370241","iPhone","Report raises questions about ‘Clinton Cash’ from Russians during ‘reset'",2016-08-02 19:38:16,14,"no_quote","picture","no_very",73
"760552601356267520","Android","President Obama will go down as perhaps the worst president in the history of the United States!",2016-08-02 19:07:25,14,"no_quote","no_picture","no_very",96
"760542646888652804","iPhone","#ICYMI: John Podesta’s Brother Pocketed $180,000 from Putin’s Uranium Company:",2016-08-02 18:27:51,13,"no_quote","picture","no_very",78
"760538951581130754","iPhone","#CrookedHillary",2016-08-02 18:13:10,13,"no_quote","picture","no_very",15
"760535661699035136","iPhone","Join me in Florida tomorrow! #MakeAmericaGreatAgain Daytona | 3pm- Jacksonville | 7pm-",2016-08-02 18:00:06,13,"no_quote","picture","no_very",86
"760532443061420033","iPhone","STATEMENT IN RESPONSE TO PRESIDENT OBAMA'S FAILED LEADERSHIP:",2016-08-02 17:47:19,12,"no_quote","picture","no_very",61
"760519847461658624","iPhone","Thank you Virginia! #ImWithYou",2016-08-02 16:57:16,11,"no_quote","picture","no_very",30
"760420894271471620","iPhone","The Washington Post calls out #CrookedHillary for what she REALLY is. A PATHOLOGICAL LIAR! Watch that nose grow!",2016-08-02 10:24:03,5,"no_quote","picture","no_very",112
"760299757206208512","iPhone","Great afternoon in Ohio ; a great evening in Pennsylvania - departing now. See you tomorrow Virginia!",2016-08-02 02:22:42,21,"no_quote","picture","no_very",101
"760293742381244416","iPhone","Just leaving Mechanicsburg, PA. Incredible crowd-- so enthusiastic! Will be back soon. #MAGA",2016-08-02 01:58:48,20,"no_quote","picture","no_very",92
"760287440435187712","iPhone","Vast numbers of manufacturing jobs in Pennsylvania have moved to Mexico and other countries. That will end when I win!",2016-08-02 01:33:45,20,"no_quote","no_picture","no_very",118
"760255085561597952","iPhone","Thanks to @pnehlen for your kind words, very much appreciated.",2016-08-01 23:25:11,18,"no_quote","no_picture","very",62
"760249495754006528","iPhone","Join me in Florida on Wednesday! Daytona ; Jacksonville:Daytona | 3pm- Jacksonville | 7pm-",2016-08-01 23:02:59,18,"no_quote","picture","no_very",90
"760247348673077248","iPhone","During the GOP convention, CNN cut away from the victims of illegal immigrant violence. They don’t want them heard.",2016-08-01 22:54:27,17,"no_quote","picture","no_very",115
"760246898095775744","iPhone","When will CNN do a segment on Hillary’s plan to increase Syrian refugees 550% and how much it will cost?",2016-08-01 22:52:39,17,"no_quote","no_picture","no_very",104
"760246732152311808","iPhone","Hillary Clinton raked in money from regimes that horribly oppress women and gays ; refuses to speak out against Radical Islam.",2016-08-01 22:52:00,17,"no_quote","no_picture","no_very",126
"760245342231158785","iPhone","Hillary, whose decisions have led to the deaths of many, accepted $ from a business linked to ISIS. Silence at CNN.",2016-08-01 22:46:28,17,"no_quote","picture","no_very",115
"760229355784138752","iPhone","Crooked Hillary Clinton is 100% owned by her donors. #ImWithYou #MAGA",2016-08-01 21:42:57,16,"no_quote","picture","no_very",69
"760214225830772737","iPhone","Thank you Columbus, Ohio! I will be back soon. #ImWithYou #MAGA",2016-08-01 20:42:50,15,"no_quote","picture","no_very",63
"760213628926779392","iPhone","Thank you Oklahoma ; Virginia! #MakeAmericaGreatAgain #ImWithYou",2016-08-01 20:40:27,15,"no_quote","picture","no_very",64
"760185303483187201","iPhone","People believe CNN these days almost as little as they believe Hillary....that's really saying something!",2016-08-01 18:47:54,13,"no_quote","no_picture","no_very",105
"760185067054465024","iPhone","The people who support Hillary sit behind CNN anchor chairs, or headline fundraisers - those disconnected from real life.",2016-08-01 18:46:58,13,"no_quote","no_picture","no_very",121
"760184664468418560","iPhone","Will CNN send its cameras to the border to show the massive unreported crisis now unfolding -- or are they worried it will hurt Hillary?",2016-08-01 18:45:22,13,"no_quote","no_picture","no_very",136
"760184336603811842","iPhone","When will we see stories from CNN on Clinton Foundation corruption and Hillary's pay-for-play at State Department?",2016-08-01 18:44:04,13,"no_quote","no_picture","no_very",114
"760184176591208448","iPhone","CNN anchors are completely out of touch with everyday people worried about rising crime, failing schools and vanishing jobs.",2016-08-01 18:43:25,13,"no_quote","no_picture","very",124
"760184028293173248","iPhone","CNN will soon be the least trusted name in news if they continue to be the press shop for Hillary Clinton.",2016-08-01 18:42:50,13,"no_quote","no_picture","no_very",106
"760126146830794753","iPhone","Join Governor Mike Pence in Reno, Nevada- tonight at 7pm! Tickets available at:",2016-08-01 14:52:50,9,"no_quote","picture","no_very",79
"760125021280960512","iPhone","#CrookedHillary",2016-08-01 14:48:22,9,"no_quote","picture","no_very",15
"760098514319835136","Android","So with all of the Obama tough talk on Russia and the Ukraine, they have already taken Crimea and continue to push. That's what I said!",2016-08-01 13:03:02,8,"no_quote","no_picture","no_very",135
"760095370185674752","Android","When I said in an interview that Putin is ""not going into Ukraine, you can mark it down,"" I am saying if I am President. Already in Crimea!",2016-08-01 12:50:32,7,"no_quote","no_picture","no_very",139
"760074526059270144","Android","This story is not about Mr. Khan, who is all over the place doing interviews, but rather RADICAL ISLAMIC TERRORISM and the U.S. Get smart!",2016-08-01 11:27:43,6,"no_quote","no_picture","no_very",138
"760070280932982784","Android","Mr. Khan, who does not know me, viciously attacked me from the stage of the DNC and is now all over T.V. doing the same - Nice!",2016-08-01 11:10:51,6,"no_quote","no_picture","no_very",127
"759915863600304128","Android","Wow, it is unbelievable how distorted, one-sided and biased the media is against us. The failing @nytimes is a joke. @CNN is laughable!",2016-08-01 00:57:15,19,"no_quote","no_picture","no_very",135
"759848885900763141","Android","""@RealJamesWoods:  Without absolutely OWNING the liberal media, HillaryClinton wouldn't stand a chance. #VoterFraud and #MSM her only hope.""",2016-07-31 20:31:06,15,"qote","no_picture","no_very",140
"759843323909668865","Android","The dishonest media is fawning over the Democratic Convention. I wonder why, then, my speech had millions of more viewers than Crooked H?",2016-07-31 20:09:00,15,"no_quote","no_picture","no_very",137
"759743648573435905","Android","I was viciously attacked by Mr. Khan at the Democratic Convention. Am I not allowed to respond? Hillary voted for the Iraq war, not me!",2016-07-31 13:32:55,8,"no_quote","no_picture","no_very",135
"759734698415312897","Android","Captain Khan, killed 12 years ago, was a hero, but this is about RADICAL ISLAMIC TERROR and the weakness of our ""leaders"" to eradicate it!",2016-07-31 12:57:21,7,"no_quote","no_picture","no_very",138
"759592590106849280","Android","Nielson Media Research final numbers on ACCEPTANCE SPEECH: TRUMP  32.2 MILLION.  CLINTON 27.8 MILLION.  Thank you!",2016-07-31 03:32:40,22,"no_quote","no_picture","no_very",114
"759524001613918208","Android","Thank you to all of the television viewers that made my speech at the Republican National Convention #1 over Crooked Hillary and DEMS.",2016-07-30 23:00:07,18,"no_quote","no_picture","no_very",134
"759516008272932864","Android","Can you imagine if I had the small crowds that Hillary is drawing today in Pennsylvania. It would be a major media event! @CNN @FoxNews",2016-07-30 22:28:22,17,"no_quote","no_picture","no_very",135
"759515080010719232","iPhone","NATO commander agrees members should pay up via @dcexaminer:",2016-07-30 22:24:40,17,"no_quote","picture","no_very",60
"759513644258525184","Android","Wow, NATO's top commander just announced that he agrees with me that alliance members must PAY THEIR BILLS. This is a general I will like!",2016-07-30 22:18:58,17,"no_quote","no_picture","no_very",138
"759512042906587137","Android","The ""Rust Belt"" was created by politicians like the Clintons who allowed our jobs to be stolen from us by other countries like Mexico. END!",2016-07-30 22:12:36,17,"no_quote","no_picture","no_very",139
"759509936002957314","Android","Crooked's stop in Johnstown, Pennsylvania, where jobs have been absolutely decimated by dumb politicians, drew less than 200 - with Bill, VP",2016-07-30 22:04:14,17,"no_quote","no_picture","no_very",140
"759507812963737600","iPhone","#CrookedHillary = Obama's third term, which would be terrible news for our economic growth - seen below.",2016-07-30 21:55:48,16,"no_quote","picture","no_very",104
"759506712516784128","Android","Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?",2016-07-30 21:51:25,16,"no_quote","no_picture","very",134
"759479059046883328","Android","I turned down a meeting with Charles and David Koch. Much better for them to meet with the puppets of politics, they will do much better!",2016-07-30 20:01:32,15,"no_quote","no_picture","no_very",137
"759477522232901632","Android","Why doesn't the media want to report that on the two ""Big Thursdays"" when Crooked Hillary and I made our speeches - Republican's won ratings",2016-07-30 19:55:26,14,"no_quote","no_picture","no_very",140
"759457253925785604","iPhone","#CrookedHillary",2016-07-30 18:34:54,13,"no_quote","picture","no_very",15
"759450265208651776","iPhone","Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!",2016-07-30 18:07:07,13,"no_quote","no_picture","no_very",117
"759450053379579905","iPhone","Violent crime is rising across the United States, yet the DNC convention ignored it. Crime reduction will be one of my top priorities.",2016-07-30 18:06:17,13,"no_quote","no_picture","no_very",134
"759425642723246084","Android","Just got back from Colorado. The love and enthusiasm at two rallies was incredible. Big crowds!",2016-07-30 16:29:17,11,"no_quote","no_picture","no_very",95
"759393092554424320","iPhone","While I am in OH ; PA - you can also join @Mike_Pence in Nevada on Mon!Carson City: Reno:",2016-07-30 14:19:56,9,"no_quote","picture","no_very",89
"759389559385952257","iPhone","Join me Monday in Columbus, Ohio ; Harrisburg, Pennsylvania! #MAGA3pm in OH: 7pm in PA:",2016-07-30 14:05:54,9,"no_quote","picture","no_very",87
"759381869267980288","iPhone","American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs. WE will bring back the  'American Dream!'",2016-07-30 13:35:20,8,"no_quote","picture","no_very",114
"759372422692954112","iPhone","We are suffering through the worst long-term unemployment in the last 70 years. I want change - Crooked Hillary Clinton does not.",2016-07-30 12:57:48,7,"no_quote","no_picture","no_very",129
"759191265988653056","iPhone","Hillary Clinton should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement ; insticts.",2016-07-30 00:57:57,19,"no_quote","no_picture","no_very",139
"759185456818860032","iPhone","Thank you to the amazing law enforcement officers in Colorado!#MakeAmericaGreatAgain #LESM",2016-07-30 00:34:52,19,"no_quote","picture","no_very",90
"759152897602916352","iPhone","Thank you Colorado Springs. Get out ; VOTE #TrumpPence16 in November!",2016-07-29 22:25:29,17,"no_quote","picture","no_very",69
"759117301517996032","iPhone","""Only a Reagan or a Trump-like figure in the White House will achieve this goal.""",2016-07-29 20:04:03,15,"qote","picture","no_very",81
"759088844683608064","iPhone","Join me in Colorado Springs at 2pm- or in Denver tonight at 7pm!Colorado Springs: Denver:",2016-07-29 18:10:58,13,"no_quote","picture","no_very",89
