id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,,,,,
Argentina,4.10,2.88,1.40,1.51,-47.47,,,,,
Australia,3.00,1.61,1.80,1.11,-31.24,,,,,
Brazil,4.55,3.07,1.44,1.68,-45.31,,,,,
Britain,1.99,0.63,3.08,0.73,16.02,,,,,
Canada,3.20,1.45,2.17,1.18,-18.56,,,,,
Chile,1400.00,716.00,1.95,516.61,-27.85,,,,,
China,9.90,8.28,1.20,3.65,-55.88,,,,,
Colombia,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Czech Republic,56.57,28.90,1.91,20.87,-27.77,,,,,
Denmark,27.75,6.78,3.99,10.24,51.03,,,,, 
Egypt,8.00,5.92,1.38,2.95,-50.13,,,,,
Euro area,2.71,0.91,2.98,1.00,10.00,,,,,
Hong Kong,11.50,7.80,1.47,4.24,-45.60,,,,,
Hungary,490.00,224.00,2.14,180.81,-19.28,,,,,
India,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Indonesia,16100.00,8740.00,1.81,5940.96,-32.03,,,,,
Israel,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Japan,262.00,120.00,2.18,96.68,-19.43,,,,,
Latvia,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Lithuania,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Malaysia,5.04,3.80,1.33,1.86,-51.06,,,,,
Mexico,23.00,10.53,2.14,8.49,-19.40,,,,,
New Zealand,3.95,1.78,2.15,1.46,-18.11,,,,,
Norway,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Pakistan,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Peru,7.90,3.46,2.28,2.92,-15.75,,,,,
Philippines,65.00,52.50,1.23,23.99,-54.31,,,,,
Poland,6.30,3.89,1.56,2.32,-40.24,,,,,
Russia,41.00,31.10,1.31,15.13,-51.35,,,,,
Saudi Arabia,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Singapore,3.30,1.78,1.85,1.22,-31.59,,,,,
South Africa,13.95,7.56,1.74,5.15,-31.91,,,,,
South Korea,3300.00,1220.00,2.63,1217.71,-0.19,,,,,
Sri Lanka,#N/A,#N/A,#N/A,#N/A,#N/A,,, ,,
Sweden,30.00,8.34,3.50,11.07,32.74,,,,,
Switzerland,6.30,1.37,4.52,2.32,69.69,,,,,
Taiwan,70.00,34.80,2.01,25.83,-25.78,,,,,
Thailand,59.00,42.70,1.37,21.77,-49.01,,,,,
Turkey,3750000.00,1600500.00,2.28,1383763.84,-13.54,,,,,
UAE,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Ukraine,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
United States,2.71,1.00,2.71,1.00,0.00,,,,,
Uruguay,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
Venezuela,3700.00,1598.00,2.32,1365.31,-14.56,,,,,
