id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,7.00,3.06,2.29,2.26,-26.12
Australia,3.25,1.33,2.44,1.05,-21.32
Brazil,6.40,2.30,2.78,2.06,-10.41
Britain,1.94,0.53,3.65,0.63,17.68
Canada,3.52,1.12,3.14,1.14,1.34
Chile,1560.00,529.95,2.94,503.23,-5.04
China,10.50,8.03,1.31,3.39,-57.80
Colombia,6500.00,2503.60,2.60,2096.77,-16.25
Costa Rica,1130.00,509.54,2.22,364.52,-28.46
Czech Republic,59.05,22.11,2.67,19.05,-13.84
Denmark,27.75,5.82,4.77,8.95,53.85
Egypt,9.50,5.77,1.65,3.06,-46.90
Euro area,2.94,0.78,3.77,0.95,21.51
Hong Kong,12.00,7.75,1.55,3.87,-50.07
Hungary,560.00,206.34,2.71,180.65,-12.45
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,14600.00,9325.00,1.57,4709.68,-49.49
Israel,#N/A,#N/A,#N/A,#N/A,#N/A
Japan,250.00,112.11,2.23,80.65,-28.06
Latvia,1.35,0.55,2.47,0.44,-20.47
Lithuania,6.50,2.69,2.41,2.10,-22.18
Malaysia,5.50,3.63,1.52,1.77,-51.12
Mexico,29.00,11.30,2.57,9.35,-17.24
New Zealand,4.45,1.62,2.75,1.44,-11.45
Norway,43.00,6.10,7.05,13.87,127.31
Pakistan,130.00,60.06,2.16,41.94,-30.17
Peru,9.50,3.26,2.91,3.06,-6.03
Philippines,85.00,52.63,1.62,27.42,-47.90
Poland,6.50,3.10,2.10,2.10,-32.34
Russia,48.00,27.06,1.77,15.48,-42.79
Saudi Arabia,9.00,3.75,2.40,2.90,-22.56
Singapore,3.60,1.59,2.27,1.16,-26.84
South Africa,13.95,6.60,2.11,4.50,-31.79
South Korea,2500.00,952.40,2.62,806.45,-15.32
Sri Lanka,190.00,102.96,1.85,61.29,-40.47
Sweden,33.00,7.28,4.53,10.65,46.13
Switzerland,6.30,1.21,5.21,2.03,68.11
Taiwan,75.00,32.14,2.33,24.19,-24.73
Thailand,60.00,38.45,1.56,19.35,-49.66
Turkey,4.20,1.54,2.72,1.35,-12.11
UAE,9.00,3.67,2.45,2.90,-20.95
Ukraine,8.50,5.05,1.68,2.74,-45.70
United States,3.10,1.00,3.10,1.00,0.00
Uruguay,42.28,23.93,1.77,13.64,-42.99
Venezuela,5701.25,2519.58,2.26,1839.11,-27.01
